"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"0bfd0b434243adc5c2e1aa6baf19c6aa","rio de janeiro","RJ",6,6,6,371.20,65.79,436.99,3.67
"0c7533c71df861ec58ad7ff999ed0e8d","valinhos","SP",61,73,29,2989.30,874.21,3863.51,4.08
"0c7f30ae9b147eca07affbef92832a6a","ponta grossa","PR",5,5,4,479.50,87.61,567.11,5.00
"0c8380b62e38e8a1e6adbeba7eb9688c","tres coracoes","MG",182,220,93,17348.79,4107.04,21455.83,4.03
"0cab2da43793a6f3c5ed8514c5f54627","curitiba","PR",3,3,2,309.70,57.20,366.90,5.00
"0cbcee27c791afa0cdcb08587a2013a8","tres coracoes","MG",39,41,13,5324.15,817.16,6141.31,3.85
"0d33a55da925bbf1ff02af5f6059fc7f","sao paulo","SP",22,24,8,547.30,385.61,932.91,4.50
"0d4c8269e7f0401201794deef160edd6","ribeirao preto","SP",3,4,4,792.64,99.39,892.03,4.00
"0d83f8e03188682112cc0d93523705cc","porto alegre","RS",4,8,2,696.26,124.31,820.57,2.75
"0d85bbda9889ce1f7e63778d24f346eb","uberlandia","MG",51,58,17,4845.20,1624.50,6469.70,4.21
"0daf5180aa44356f60f8effa533b55a2","goiania","GO",2,2,2,144.80,38.83,183.63,5.00
"0db783cfcd3b73998abc6e10e59a102f","santos","SP",132,137,14,9077.40,1999.15,11076.55,4.21
"0dd184061fb0eaa7ca37932c68ab91c5","guarulhos","SP",161,193,11,18446.92,5319.50,23766.42,3.95
"0ddefe3c7a032b91f4e25b9c3a08fca1","sao bernardo do campo","SP",9,10,7,402.90,150.00,552.90,4.50
"0df3984f9dfb3d49ac6366acbd3bbb85","betim","MG",87,89,25,10021.49,1498.72,11520.21,4.30
"0dfbed20065e425d2eaefb101f9816c0","porto ferreira","SP",3,3,2,84.35,49.25,133.60,2.67
"0e44d110fa6a54e121cb2c095a77762f","francisco morato","SP",6,6,5,223.32,70.06,293.38,4.33
"0e72c1a751b496722a6cb1f10653b62a","sao paulo","SP",3,3,3,140.80,51.30,192.10,4.67
"0e982cff76cc0579f632cea8a0e38c9d","itajai","SC",7,12,8,1307.34,172.97,1480.31,3.25
"0ea22c1cfbdc755f86b9b54b39c16043","sete lagoas","MG",237,269,152,10711.70,4363.61,15075.31,4.32
"0eaa7e33d73809f1f925f7d07c506cbd","santo andre","SP",15,15,12,1552.00,194.90,1746.90,4.71
"0ebd97a106433a45a4aebe57c1799778","contagem","MG",31,32,10,3046.80,614.88,3661.68,4.50
"0ec28cec4046a4a199b6de9b4c891d97","goiania","GO",3,4,2,296.60,56.04,352.64,5.00
"0ed6ce5d87fd9c69eaacaeb778d67235","americana","SP",43,43,26,2141.42,687.83,2829.25,4.40
"0ee4fb99ac55ffbbc98795aa01b7f8fa","santana de parnaiba","SP",1,1,1,59.90,11.03,70.93,5.00
"0ef83d7d83ed97cd2a0049ac8be5f88a","curitiba","PR",48,55,14,4421.01,1026.80,5447.81,4.24
"0f0c984a4a955310903b6b6008660bad","franca","SP",4,4,4,369.81,111.57,481.38,3.75
"0f519b0d2e5eb2227c93dd25038bfc01","ibitinga","SP",1,1,1,79.90,23.00,102.90,5.00
"0f7eea709efdf942b5f95c7516dbacd7","pedrinhas paulista","SP",3,3,2,195.74,44.32,240.06,4.00
"0f80a40c312b2472dca482cf50f5186f","lencois paulista","SP",1,1,1,129.90,20.10,150.00,3.00
"0f94588695d71662beec8d883ffacf09","florianopolis","SC",1,1,1,9.00,18.59,27.59,5.00
"0fe2d9733ed841eb064503920015a8c0","ourinhos","SP",3,3,3,389.64,108.71,498.35,4.67
"0ff83046c3fa22efee8ecf291888b191","caxias do sul","RS",10,11,6,768.90,254.48,1023.38,4.82
"0ffa40d54288e4f3499b8780dd0f144f","presidente prudente","SP",33,35,21,2162.80,583.67,2746.47,4.40
"10076e5788b8ee532724bcd460baf762","batatais","SP",23,26,13,821.48,377.30,1198.78,4.62
"10089e9f2fd0c668a8fd4e52e1698888","sao jose do rio preto","SP",3,3,3,1139.90,59.41,1199.31,4.33
"101921376b577a4540dc30e9009133ca","rio claro","SP",1,1,1,373.00,21.49,394.49,2.00
"101a3a003516bc11253298b2fad3cb65","rio claro","SP",5,6,2,450.00,74.00,524.00,4.83
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP",915,1428,154,138968.55,33892.14,172860.69,3.85
"10264f60a8f0a4d2f30810f5c661c673","campinas","SP",4,4,2,284.60,41.86,326.46,5.00
